"예산투자현황별(1)",예산투자현황별(2),2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022
"예산투자현황별(1)",예산투자현황별(2),전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업
"응답기업수 (개)",소계,782,370,246,166,1355,604,414,337,1386,602,339,445,1454,636,358,460,8940,3010,3002,2928
"전년도 확정치 (억원)",소계,-,-,-,-,6908,2121,2596,2191,6994,1523,1438,4033,3940,1409,1773,758,14729,4633,7921,2175
"전년도 확정치 (억원)",서버,-,-,-,-,339,145,90,103,1210,305,255,650,486,211,180,96,2639,837,1371,431
"전년도 확정치 (억원)",스토리지,-,-,-,-,151,57,39,56,510,73,183,254,346,164,113,70,1342,434,685,223
"전년도 확정치 (억원)",네트워크,-,-,-,-,315,97,75,143,864,107,232,525,515,209,211,95,1895,680,967,248
"전년도 확정치 (억원)",SW/솔루션,-,-,-,-,3709,1351,1498,860,2756,772,447,1536,1526,551,798,178,4210,1555,2212,443
"전년도 확정치 (억원)",서비스,-,-,-,-,2253,471,754,1029,1652,265,320,1067,1066,275,471,320,4642,1127,2685,830
"전년도 확정치 (억원)",기타,-,-,-,-,140,0,140,0,2,1,1,0,-,-,-,-,-,-,-,-
"당해년도 추정치 (억원)",소계,797,428,204,165,7043,2200,2654,2189,7123,1535,1453,4135,4100,1480,1834,786,15483,4872,8385,2226
"당해년도 추정치 (억원)",서버,133,65,32,36,349,189,95,65,1235,301,253,682,513,220,187,105,2784,859,1510,415
"당해년도 추정치 (억원)",스토리지,110,47,34,28,146,59,39,48,535,91,193,251,359,170,122,67,1517,537,750,231
"당해년도 추정치 (억원)",네트워크,68,36,20,12,336,98,75,163,893,119,236,539,536,216,218,102,2047,716,1073,258
"당해년도 추정치 (억원)",SW/솔루션,238,147,58,33,3815,1378,1556,881,2761,750,458,1554,1597,584,822,191,4267,1530,2248,489
"당해년도 추정치 (억원)",서비스,227,122,59,47,2256,475,749,1033,1696,274,312,1110,1095,290,484,321,4867,1230,2805,832
"당해년도 추정치 (억원)",기타,20,11,1,9,140,0,140,0,2,1,1,0,-,-,-,-,-,-,-,-
