판매처별(1),데이터서비스별(1),2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017
판매처별(1),데이터서비스별(1),응답기업수 (개),완전 무료 (%),광고/홍보 조건 무료 (%),파격 할인된 가격 (%),적정한 가격 (%),기타 (%),응답기업수 (개),완전 무료 (%),광고/홍보 조건 무료 (%),파격 할인된 가격 (%),적정한 가격 (%),기타 (%),무응답 (%)
대기업,전체,76,1.3,0,7.9,90.8,0,42,2.4,2.4,4.8,88.1,0,2.3
대기업,데이터 거래,32,0,0,9.4,90.6,0,15,0,0,6.7,86.7,0,6.6
대기업,정보 제공,46,2.2,0,8.7,89.1,0,27,3.7,3.7,3.7,88.9,0,0
대기업,데이터 분석 제공,5,0,0,20,80,0,-,-,-,-,-,-,-
중소기업,전체,78,2.6,0,6.4,89.7,1.3,49,2,6.1,2,85.7,2,2.2
중소기업,데이터 거래,34,0,0,5.9,91.2,2.9,21,0,0,0,95.2,0,4.8
중소기업,정보 제공,46,4.3,0,8.7,87,0,26,3.8,11.5,3.8,76.9,4,0
중소기업,데이터 분석 제공,4,0,0,25,75,0,2,0,0,0,100,0,0
정부/공공,전체,59,3.4,0,6.8,89.8,0,32,3.1,3.1,3.1,87.5,0,3.2
정부/공공,데이터 거래,25,0,0,8,92,0,12,0,0,0,91.7,0,8.3
정부/공공,정보 제공,37,5.4,0,8.1,86.5,0,20,5,5,5,85,0,0
정부/공공,데이터 분석 제공,2,0,0,0,100,0,-,-,-,-,-,-,-
개인,전체,47,2.1,2.1,4.3,91.5,0,38,2.6,5.3,5.3,81.6,0,5.2
개인,데이터 거래,20,0,0,0,100,0,11,0,0,9.1,81.8,0,9.1
개인,정보 제공,30,3.3,3.3,6.7,86.7,0,27,3.7,7.4,3.7,81.5,0,3.7
개인,데이터 분석 제공,1,0,0,0,100,0,-,-,-,-,-,-,-
